web-scraper-order,web-scraper-start-url,details,prix,adresse,img_link-src
"1739370920-248","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin / Géant de Flandre","40 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2723627_uploaded_image1_1603897714.jpg"
"1739370920-249","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poule Baraman","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_2712048_uploaded_image1_1603379295.jpg"
"1739370920-250","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin caïllouté","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2711749_uploaded_image1_1603372819.jpg"
"1739370920-251","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2711734_uploaded_image1_1603372455.jpg"
"1739370920-252","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2697330_uploaded_image1_1602779150.jpg"
"1739370920-253","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Couple texan","35 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2695680_uploaded_image1_1602716686.jpg"
"1739370920-254","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","25 000CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2689453_uploaded_image1_1602511661.jpg"
"1739370920-255","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet Cochin blanc","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2687766_uploaded_image1_1602445033.jpg"
"1739370920-256","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons mâles king","55 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2687762_uploaded_image1_1602444932.jpg"
"1739370920-257","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","5 femelle - 1 mâle cochin","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2685913_uploaded_image1_1602360787.jpg"
"1739370920-258","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2685886_uploaded_image1_1602359909.jpg"
"1739370920-259","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin métisse","10 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2683357_uploaded_image1_1602258164.jpg"
"1739370920-260","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Brahmanes de pure race - peruches ondulés","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2678983_uploaded_image1_1602106099.jpg"
"1739370920-261","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2673317_uploaded_image1_1601899857.jpg"
"1739370920-262","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons mondains","200 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2663305_uploaded_image1_1601545362.jpg"
"1739370920-263","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons frisés milanais","1 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2661323_uploaded_image1_1601466041.jpg"
"1739370920-264","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon - Couple Texen","35 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg"
"1739370920-265","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin géant Angoura","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2644118_uploaded_image1_1600776918.jpg"
"1739370920-266","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poule Cochin cailloutée","180 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2641987_uploaded_image1_1600702005.jpg"
"1739370926-267","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins Cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3325681_uploaded_image1_1631188256.jpg"
"1739370926-268","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin nain","30 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3322610_uploaded_image1_1631059644.jpg"
"1739370926-269","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Trio poussin coucou","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316809_uploaded_image1_1630785179.jpg"
"1739370926-270","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussin Brahmâ","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316806_uploaded_image1_1630785002.jpg"
"1739370926-271","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussin Brahma","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316797_uploaded_image1_1630784777.jpg"
"1739370926-272","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","17 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3315445_uploaded_image1_1630722382.jpg"
"1739370926-273","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Brahman","22 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3307095_uploaded_image1_1630430739.jpg"
"1739370926-274","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon mondain / bullan","25 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3306481_uploaded_image1_1630411232.jpg"
"1739370926-275","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Bullan","95 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3306474_uploaded_image1_1630410943.jpg"
"1739370926-276","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon  Bullan","100 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3306464_uploaded_image1_1630410757.jpg"
"1739370926-277","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons Lahore","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3305350_uploaded_image1_1630343789.jpg"
"1739370926-278","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons","50 000CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3302613_uploaded_image1_1630169095.jpg"
"1739370926-279","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet Bleu Hollande","4 500CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_3290876_uploaded_image1_1629501810.jpg"
"1739370926-280","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","17 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3286388_uploaded_image1_1629289139.jpg"
"1739370926-281","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3283632_uploaded_image1_1629152543.jpg"
"1739370926-282","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3281225_uploaded_image2_1629034850.jpeg"
"1739370926-283","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3281223_uploaded_image1_1629034748.jpg"
"1739370926-284","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Bleu Hollande","10 000CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3278019_uploaded_image1_1628853028.jpg"
"1739370926-285","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Brahma herminé","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3259880_uploaded_image1_1628000666.jpg"
"1739370926-286","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins Brahman Herminé","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3248983_uploaded_image1_1627479441.jpg"
"1739370926-287","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon voyageur Meulman","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3248657_uploaded_image1_1627469932.jpg"
"1739370926-288","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3229235_uploaded_image1_1626304950.jpg"
"1739370926-289","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets de chair","2 500CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3214815_uploaded_image1_1625661793.jpg"
"1739370926-290","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Perruche","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3214014_uploaded_image1_1625618936.jpg"
"1739370926-291","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin fauve de bourgogne","25 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3202447_uploaded_image2_1625166857.jpeg"
"1739370926-292","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin","15 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3197088_uploaded_image1_1624966307.jpg"
"1739370926-293","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Coq Baramann","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3189768_uploaded_image1_1624544691.jpg"
"1739370926-294","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
"1739370926-295","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Monday","100 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3177475_uploaded_image1_1623938929.jpg"
"1739370926-296","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pignon Monday","175 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3177465_uploaded_image1_1623938681.jpg"
"1739370926-297","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3177358_uploaded_image1_1623935467.jpg"
"1739370926-298","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet de chair","3 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3175790_uploaded_image1_1623855618.jpg"
"1739370926-299","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules cou-nues","Prix sur demande","Touba, Sénégal","https://images.coinafrique.com/thumb_3169649_uploaded_image1_1623581238.jpg"
"1739370926-300","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets bleue d'hollande","Prix sur demande","Touba, Sénégal","https://images.coinafrique.com/thumb_3169646_uploaded_image1_1623581136.jpg"
"1739370926-301","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","Prix sur demande","Joal Fadiouth, Sénégal","https://images.coinafrique.com/thumb_3167648_uploaded_image1_1623456119.jpg"
"1739370926-302","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet de chair","2 500CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3165580_uploaded_image1_1623362561.jpg"
"1739370926-303","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pintade","10 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3165007_uploaded_image1_1623340371.jpg"
"1739370926-304","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Baraman","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3164881_uploaded_image1_1623336573.jpg"
"1739370926-305","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","15 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3155590_uploaded_image1_1622927017.jpg"
"1739370926-306","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","15 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3155585_uploaded_image1_1622926869.jpg"
"1739370926-307","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet local","3 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3154953_uploaded_image2_1622902343.jpeg"
"1739370926-308","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3152493_uploaded_image1_1622801692.jpg"
"1739370926-309","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Perroquet","40 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3150902_uploaded_image1_1622730048.jpg"
"1739370926-310","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Dinde","15 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3148596_uploaded_image1_1622649167.jpg"
"1739370926-311","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","500CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3142583_uploaded_image2_1622471438.jpeg"
"1739370926-312","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons voyageurs","12 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3140949_uploaded_image1_1622373951.jpg"
"1739370926-313","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_3136627_uploaded_image1_1622124684.jpg"
"1739370926-314","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Mondain","180 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3131153_uploaded_image1_1621866089.jpg"
"1739370926-315","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Cailles jumbos","1 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3131078_uploaded_image1_1621863390.jpg"
"1739370926-316","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin Angora","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3130806_uploaded_image1_1621853971.jpg"
"1739370926-317","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets Brahman","40 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3128887_uploaded_image1_1621714606.jpg"
"1739370926-318","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins Brahma","5 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3126603_uploaded_image1_1621600775.jpg"
"1739370926-319","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Colvert","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3125526_uploaded_image1_1621532802.jpg"
"1739370926-320","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet","3 500CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3123441_uploaded_image1_1621440889.jpg"
"1739370926-321","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapins","22 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3121121_uploaded_image1_1621343038.jpg"
"1739370926-322","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","80 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3118080_uploaded_image1_1621187860.jpg"
"1739370926-323","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3115873_uploaded_image1_1621043291.jpg"
"1739370926-324","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Lahore - noir","25 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3104310_uploaded_image1_1620450328.jpg"
"1739370926-325","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Lahore rouge","25 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3104308_uploaded_image1_1620450063.jpg"
"1739370926-326","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon cauchois","70 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3101934_uploaded_image1_1620336090.jpg"
"1739370926-327","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon voyageur Mento","20 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3101648_uploaded_image1_1620324800.jpg"
"1739370926-328","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet de chair","3 500CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3101043_uploaded_image1_1620309572.jpg"
"1739370926-329","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon kochoi","70 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3099946_uploaded_image1_1620258649.jpg"
"1739370926-330","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Perruches  arc-en-ciel","40 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3094776_uploaded_image1_1620059311.jpg"
"1739370926-331","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Lahore","20 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3090984_uploaded_image1_1619904750.jpg"
"1739370926-332","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin couple fauve adultes","80 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3089288_uploaded_image1_1619848402.jpg"
"1739370926-333","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons","80 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3087144_uploaded_image1_1619723224.jpg"
"1739370926-334","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Couples Pigeons Boulant Panarami reproducteurs","130 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3083820_uploaded_image1_1619564909.jpg"
"1739370926-335","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet de chair","2 500CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3082778_uploaded_image1_1619528177.jpg"
"1739370926-336","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Lahor","30 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076680_uploaded_image1_1619200906.jpg"
"1739370926-337","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","100 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076669_uploaded_image1_1619200506.jpg"
"1739370926-338","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","60 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076664_uploaded_image1_1619200352.jpg"
"1739370926-339","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","40 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076657_uploaded_image1_1619200129.jpg"
"1739370926-340","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin Angora","20 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3072438_uploaded_image2_1619019452.jpeg"
"1739370926-341","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","3 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3065835_uploaded_image1_1618714726.jpg"
"1739370926-342","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Lahor","30 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3063589_uploaded_image1_1618596539.jpg"
"1739370926-343","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Château Rouge","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg"
"1739370926-344","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Laor","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg"
"1739370926-345","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin Angora","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3055838_uploaded_image1_1618276360.jpg"
"1739370926-346","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","20 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3052171_uploaded_image1_1618086163.jpg"
"1739370926-347","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","150 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3049719_uploaded_image1_1617978714.jpg"
"1739370926-348","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapins Angora métissés","15 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035970_uploaded_image1_1617382564.jpg"
"1739370926-349","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","25 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3033406_uploaded_image1_1617293184.jpg"
"1739370926-350","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Cochin blanche","65 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3025104_uploaded_image1_1616923906.jpg"
"1739370930-351","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Pigeon","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3659931_uploaded_image1_1650357026.jpg"
"1739370930-352","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Pigeon voyageur","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3659922_uploaded_image1_1650356719.jpg"
"1739370930-353","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Poussins","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3658331_uploaded_image1_1650244788.jpg"
"1739370930-354","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Lapins","15 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3624677_uploaded_image1_1648325393.jpg"
"1739370930-355","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Oiseaux","80 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3620766_uploaded_image1_1648057839.jpg"
"1739370930-356","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Pigeons","Prix sur demande","Bambey, Sénégal","https://images.coinafrique.com/thumb_3610036_uploaded_image1_1647364331.jpg"
"1739370930-357","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Pigeon femelle texan","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3606040_uploaded_image1_1647113482.jpg"
"1739370930-358","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Trio poussins Brahma","20 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3599688_uploaded_image1_1646764114.jpg"
"1739370930-359","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Couple poussins brahma","20 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3595177_uploaded_image1_1646493730.jpg"
"1739370930-360","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Lapins nains","30 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3594110_uploaded_image1_1646425965.jpg"
"1739370930-361","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Coq Cochin","80 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3589893_uploaded_image1_1646229663.jpg"
"1739370930-362","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Poule Cochin","90 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3589888_uploaded_image1_1646229530.jpg"
"1739370930-363","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Couple Cochin","90 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3577024_uploaded_image1_1645466016.jpg"
"1739370930-364","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Poulets","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3575471_uploaded_image1_1645369161.jpg"
"1739370930-365","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Poule  Brahma","25 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3569532_uploaded_image1_1644995089.jpg"
"1739370930-366","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Couple de poule Brahman","50 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3556200_uploaded_image1_1644096446.jpg"
"1739370930-367","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Oeuf poulet Brahma","2 500CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3556035_uploaded_image1_1644085287.jpg"
"1739370930-368","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Coq","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3548688_uploaded_image1_1643733991.jpg"
"1739370930-369","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Poule pondeuse","45 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3546233_uploaded_image1_1643636475.jpg"
"1739370930-370","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Poussin brahman","10 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3546230_uploaded_image1_1643636330.jpg"
"1739370930-371","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Coq Brahman","50 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3546219_uploaded_image1_1643635974.jpg"
"1739370930-372","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Pigeons","45 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3544759_uploaded_image1_1643532462.jpg"
"1739370930-373","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=5","Lot de 3 pigeons","25 000CFA","Sipres, Dakar, Sénégal","https://images.coinafrique.com/thumb_3544488_uploaded_image1_1643489629.jpg"
